Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/20,Sunday,YOUTUBE,151,Entertainment
8/20,Sunday,SNAPCHAT,123,Social Media
8/20,Sunday,INSTAGRAM,100,Social Media
8/20,Sunday,IMESSAGES,18,Other
8/20,Sunday,TIKTOK,16,Social Media
8/21,Monday,INSTAGRAM,100,Social Media
8/21,Monday,SNAPCHAT,93,Social Media
8/21,Monday,YOUTUBE,63,Entertainment
8/21,Monday,TIKTOK,53,Social Media
8/21,Monday,WAZE,38,Travel
8/21,Monday,IMESSAGES,10,Other
8/21,Monday,ESPN_FANTASY,7,Entertainment
8/22,Tuesday,YOUTUBE,91,Entertainment
8/22,Tuesday,SNAPCHAT,69,Social Media
8/22,Tuesday,INSTAGRAM,55,Social Media
8/22,Tuesday,TIKTOK,44,Social Media
8/22,Tuesday,ESPN_FANTASY,14,Entertainment
8/22,Tuesday,IMESSAGES,2,Other
8/23,Wednesday,INSTAGRAM,133,Social Media
8/23,Wednesday,YOUTUBE,94,Entertainment
8/23,Wednesday,SNAPCHAT,84,Social Media
8/23,Wednesday,WAZE,18,Travel
8/23,Wednesday,SPOTIFY,11,Other
8/23,Wednesday,IMESSAGES,10,Other
8/24,Thursday,YOUTUBE,137,Entertainment
8/24,Thursday,INSTAGRAM,120,Social Media
8/24,Thursday,SNAPCHAT,60,Social Media
8/24,Thursday,IMESSAGES,18,Other
8/24,Thursday,ESPN_FANTASY,1,Entertainment
8/25,Friday,INSTAGRAM,140,Social Media
8/25,Friday,YOUTUBE,67,Entertainment
8/25,Friday,SNAPCHAT,63,Social Media
8/25,Friday,WAZE,46,Travel
8/25,Friday,TIKTOK,20,Social Media
8/25,Friday,IMESSAGES,5,Other
8/26,Saturday,INSTAGRAM,182,Social Media
8/26,Saturday,SNAPCHAT,146,Social Media
8/26,Saturday,YOUTUBE,121,Entertainment
8/26,Saturday,IMESSAGES,6,Other
8/26,Saturday,ESPN_FANTASY,2,Entertainment